epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,0.82767,0.40762,0.9476,0.80632,0.73651,0.77836,0.52234,0.96836,0.45776,1.029,0.0009415,0.0009415,0.0009415
186,0.8288,0.40868,0.9522,0.80586,0.7362,0.77829,0.52241,0.96831,0.45772,1.0291,0.000892,0.000892,0.000892
187,0.85213,0.41932,0.96744,0.80654,0.73652,0.77845,0.52263,0.96844,0.45769,1.0292,0.0008425,0.0008425,0.0008425
188,0.83779,0.42055,0.95276,0.80517,0.73638,0.77825,0.52282,0.96822,0.45757,1.0292,0.000793,0.000793,0.000793
189,0.83453,0.4112,0.94783,0.80158,0.73833,0.77856,0.52292,0.96811,0.45725,1.0293,0.0007435,0.0007435,0.0007435
190,0.82775,0.40968,0.94702,0.80084,0.74124,0.77867,0.52261,0.96817,0.45739,1.0293,0.000694,0.000694,0.000694
191,0.8051,0.38781,0.94108,0.79967,0.74164,0.7786,0.52281,0.96786,0.45739,1.0294,0.0006445,0.0006445,0.0006445
192,0.80363,0.38739,0.94396,0.79963,0.74378,0.77896,0.52301,0.96765,0.45745,1.0294,0.000595,0.000595,0.000595
193,0.80576,0.38307,0.94021,0.80034,0.74471,0.77898,0.5227,0.96785,0.45741,1.0295,0.0005455,0.0005455,0.0005455
194,0.78863,0.37575,0.93271,0.79977,0.74687,0.77906,0.52282,0.96786,0.45757,1.0297,0.000496,0.000496,0.000496
195,0.79247,0.37841,0.92883,0.79795,0.74746,0.77903,0.52276,0.96784,0.45736,1.0298,0.0004465,0.0004465,0.0004465
